title,description,published_at,source
New professional soccer league delivers big dreams for Pacific nations,"A new professional soccer league has launched across Australia, New Zealand and the Pacific, though questions remain over whether it can survive long-term.",2026-02-27T19:56:58Z,ABC News (AU)
Lasses News: Sunderland Women In Talks Over Majority Sale,"With rumours of fresh investment in the Lasses growing, could this be another major turning point for the team?",2026-02-27T19:53:34Z,SB Nation
WR denies liability in defence to ex-players' lawsuit,"World Rugby this week filed its defence to lawsuits brought by hundreds of former rugby union players over neurological injuries, denying any liability and arguing injuries are a ""foreseeable and inherent risk"" in playing the sport.",2026-02-27T19:37:51Z,RTE
Champions League's Cinderella club Bodø/Glimt rises after cash-driven Super League rejected,"Bodø/Glimt is a feelgood soccer story for the ages just as the divisive and cash-driven Super League project finally ended this month. At the Champions League draw on Friday, Manchester City’s potential opponents in the round-of-16 bracket were two teams repr…",2026-02-27T19:31:56Z,Yahoo Entertainment
"CT United FC Unveils 2026 Kits, Announces Front-of-Kit Partner PHȲND, and Names Inaugural Team Captain",Forever United and Charter Oak Kits Debut as Club Prepares for Inaugural Match on March 1 Forever United and Charter Oak Kits Debut as Club Prepares for Inaugural Match on March 1,2026-02-27T19:00:00Z,GlobeNewswire
Who is on Trump's college sports roundtable? List heavy on Florida,"President Donald Trump announced a roundtable on the future of college sports, inviting several former athletes and coaches from Florida.",2026-02-27T17:44:11Z,Palm Beach Post
'Extraordinary' Rohl remarks about Hoops bemuse O'Neill,"Celtic manager Martin O'Neill found it ""absolutely extraordinary"" that Rangers counterpart Danny Rohl was commenting on his team selection ahead of their trip to Ibrox.",2026-02-27T16:34:30Z,RTE
Cristiano Ronaldo receives surprise invitation to play for Almeria: Would it even be possible after buying 25% stake in the ex-La Liga side?,"The Portuguese superstar, still active at the highest level, has expanded his influence beyond the pitch and is now linked with a romantic return to Spanish soccer.
 Cristiano Ronaldo has once again placed himself at the center of the soccer conversation. The…",2026-02-27T16:32:37Z,Worldsoccertalk.com
New in Shoegaze and Dream Pop (2026.02.24),Tracklist: 01. Don Dias - Late Soccer game [06:16]02. Nothing - toothless coal [03:46]03. deary - Seabird [04:38]04. Momma - Christian Brothers [05:01]05. Lucid Express - Promise Me [05:35]06. Guv - Let Your Hands Go [03:37]07. Softcult - Not Sorry [03:02]08.…,2026-02-27T16:29:56Z,Rlsbb.to
Sunderland in talks with U.S. investment fund Sixth Street for women’s team sale,"Sunderland remain in active talks around securing the sale of a significant majority stake in their women’s team, even as a period of exclusivity with one interested party expires today (Friday). The club have received multiple offers from would-be buyers or …",2026-02-27T16:01:06Z,Yahoo Entertainment
Mauricio Pochettino reveals his future and addresses rumors linking him with Tottenham,"A few months before the World Cup, Mauricio Pochettino was again linked with the Tottenham Hotspur bench, but the Argentine coach made it clear that his focus is on the US men&apos",2026-02-27T15:41:06Z,Marca
Cristiano Ronaldo’s investment in Almeria adds him to growing list of footballers investing in clubs,Here are other former and current players who’ve bought a stake in growing football projects.,2026-02-27T15:18:00Z,The Indian Express
