title,description,published_at,source,compound,sentiment_label
Cristiano Ronaldo buys stake in Saudi-owned second-tier Spanish club,A consulting firm representing Cristiano Ronaldo says the Portuguese soccer star has purchased a stake in Spanish second-division club Almeria,2026-02-26T09:25:50Z,Abcnews.com,0.0,Neutral
 Griezmann’s last dance? The Frenchman linked with Orlando City,"As reported by 'El Larguero', Antoine Griezmann is closer than ever to ending his historic spell as a rojiblanco.The French forward, a key player in Diego Pablo Simeone’s system, is expected to have...",2026-02-26T08:54:00Z,Onefootball.com,0.0,Neutral
(VIDEO) Lionel Messi Expresses Deep Regret Over Not Learning English as a Child in Candid Podcast Interview,"Inter Miami and Argentina superstar Lionel Messi has revealed he ""deeply regrets"" not prioritizing English studies during his childhood, admitting the missed opportunity left him feeling ""half ignorant"" in interactions with global figures despite his unparall…",2026-02-26T08:50:27Z,Ibtimes.com.au,-0.6801,Negative
I'm a 2-time Olympic freeski medalist. I don't drink coffee or scroll between runs.,"Olympic freeskier Alex Hall doesn't pay for an international phone plan when he travels abroad, so he doesn't get distracted — he says he likes it that way.",2026-02-26T05:05:35Z,Business Insider,0.6288,Positive
Tom Brady faces backlash over FIFA propaganda video praising Gianni Infantino,"In a surprising turn that has stirred controversy across the soccer world, former NFL star and broadcaster Tom Brady is facing significant backlash after publicly praising Gianni I",2026-02-26T03:47:55Z,Marca,0.836,Positive
Victor Valley boys basketball is one win away from a long-awaited crown,The Victor Valley boys basketball team will take on South El Monte in the CIF-SS Div. 8 championship game on Saturday at Azusa Pacific University.,2026-02-26T02:06:16Z,VVdailypress.com,0.7717,Positive
LOC inspects facilities ahead 2026 National Para Games,"The Local Organizing Committee has inspected venues for the 2026 National Para Games in Abuja, confirming most facilities are ready for the competition.

Read More: https://punchng.com/loc-inspects-facilities-ahead-2026-national-para-games/",2026-02-26T02:03:33Z,The Punch,0.4144,Positive
"UCL talking points: Madrid, PSG or Italian football -- who is worse off?","And then there were 16. Two Italian giants are out, and Real Madrid and Paris Saint-Germain only eked through their playoffs. So who has what it takes to win the Champions League?",2026-02-26T01:32:48Z,ESPN,0.6662,Positive
FIFA president fully confident Mexico will still be World Cup host despite cartel chaos,"Guadalajara, the capital of Jalisco, is set to host four matches during the World Cup this summer.",2026-02-26T01:19:36Z,New York Post,0.7573,Positive
Salah happy to stay at Liverpool - Thursday's gossip,"Mohamed Salah would be happy to stay at Liverpool until 2027, there are six Premier League clubs interested in Frankfurt's Nnamdi Collins, while Casemiro wants to keep playing in Europe.",2026-02-25T23:40:06Z,BBC News,0.8807,Positive
Latest report reveals significant gap in Cowboys–Aubrey negotiations,Negotiations between Brandon Aubrey and Dallas are ongoing as the Cowboys work to retain their star kicker ahead of restricted free agency.,2026-02-25T21:48:41Z,Sporting News,0.3612,Positive
Japan ready to win hearts at Women's Asian Cup,"Japan's Greenland-born women's soccer coach Nils Nielsen is no fan of Donald Trump but he loves his team and believes they can become fan favorites at the Asian Cup in Australia. The tournament kicks off on Sunday and Japan are among the favorites, with a tal…",2026-02-25T21:46:13Z,Japan Today,0.9671,Positive
"New Lakers president Lon Rosen talks Rob Pelinka, ticket prices and more",The new Lakers exec spoke with a small group of reporters on Wednesday in a wide-ranging conversation. Here are the biggest takeaways.,2026-02-25T20:46:55Z,USA Today,-0.5574,Negative
